Fp1[1],Fp2[2],F3[3],F4[4],C3[5],C4[6],P3[7],P4[8],O1[9],O2[10],F7[11],F8[12],T3[13],T4[14],T5[15],T6[16],Fz[17],Pz[18],Cz[19],Pg1[20],Pg2[21],EOGR[22],EOOGL[23],EMG[24]
-276.74603174603175,325.0,325.0,325.0,-14.047619047619047,-252.3015873015873,325.0,325.0,-256.90476190476187,325.0,257.06349206349205,325.0,325.0,-4.841269841269841,325.0,254.68253968253967,269.76190476190476,172.61904761904762,325.0,-118.65079365079364,-171.66666666666666,0.7142857142857142,-1.0317460317460316,-166.26984126984127
-276.74603174603175,325.0,325.0,325.0,-14.047619047619047,-252.3015873015873,325.0,325.0,-256.90476190476187,325.0,257.06349206349205,325.0,325.0,-4.841269841269841,325.0,254.68253968253967,269.76190476190476,172.61904761904762,325.0,-118.65079365079364,-171.66666666666666,0.7142857142857142,-1.0317460317460316,-166.26984126984127
-261.8253968253968,325.0,325.0,325.0,-13.412698412698411,-238.65079365079364,325.0,325.0,-242.93650793650792,325.0,263.4126984126984,325.0,325.0,-4.682539682539682,325.0,242.14285714285714,73.57142857142857,187.06349206349205,325.0,-111.82539682539682,-161.5079365079365,-0.5555555555555556,-1.349206349206349,-166.26984126984127
-261.8253968253968,325.0,325.0,325.0,-13.412698412698411,-238.65079365079364,325.0,325.0,-242.93650793650792,325.0,263.4126984126984,325.0,325.0,-4.682539682539682,325.0,242.14285714285714,73.57142857142857,187.06349206349205,325.0,-111.82539682539682,-161.5079365079365,-0.5555555555555556,-1.349206349206349,-166.26984126984127
-245.47619047619045,325.0,325.0,325.0,-12.46031746031746,-223.4126984126984,325.0,325.0,-227.2222222222222,325.0,261.8253968253968,325.0,325.0,-4.365079365079365,325.0,228.015873015873,-305.0,197.38095238095238,325.0,-104.04761904761904,-150.3968253968254,-0.07936507936507936,-0.23809523809523808,-166.26984126984127
-245.47619047619045,325.0,325.0,325.0,-12.46031746031746,-223.4126984126984,325.0,325.0,-227.2222222222222,325.0,261.8253968253968,325.0,325.0,-4.365079365079365,325.0,228.015873015873,-305.0,197.38095238095238,325.0,-104.04761904761904,-150.3968253968254,-0.07936507936507936,-0.23809523809523808,-166.26984126984127
-236.42857142857142,325.0,325.0,325.0,-11.984126984126984,-215.15873015873015,325.0,325.0,-218.96825396825395,325.0,252.14285714285714,325.0,325.0,-4.2063492063492065,325.0,220.2380952380952,-294.04761904761904,195.15873015873015,325.0,-100.07936507936508,-144.36507936507937,-0.23809523809523808,-0.7142857142857142,-166.26984126984127
-236.42857142857142,325.0,325.0,325.0,-11.984126984126984,-215.15873015873015,325.0,325.0,-218.96825396825395,325.0,252.14285714285714,325.0,325.0,-4.2063492063492065,325.0,220.2380952380952,-294.04761904761904,195.15873015873015,325.0,-100.07936507936508,-144.36507936507937,-0.23809523809523808,-0.7142857142857142,-166.26984126984127
-231.98412698412696,325.0,325.0,325.0,-11.984126984126984,-211.03174603174602,325.0,325.0,-214.84126984126982,325.0,242.3015873015873,325.0,325.0,-4.2063492063492065,325.0,216.74603174603175,-288.3333333333333,189.28571428571428,325.0,-98.01587301587301,-141.34920634920636,-0.23809523809523808,-0.873015873015873,-166.26984126984127
-231.98412698412696,325.0,325.0,325.0,-11.984126984126984,-211.03174603174602,325.0,325.0,-214.84126984126982,325.0,242.3015873015873,325.0,325.0,-4.2063492063492065,325.0,216.74603174603175,-288.3333333333333,189.28571428571428,325.0,-98.01587301587301,-141.34920634920636,-0.23809523809523808,-0.873015873015873,-166.26984126984127
-228.015873015873,325.0,325.0,325.0,-11.507936507936508,-207.06349206349205,325.0,325.0,-210.87301587301587,325.0,8.333333333333332,325.0,325.0,-4.0476190476190474,325.0,212.93650793650792,-282.9365079365079,197.2222222222222,325.0,-96.1111111111111,-138.65079365079364,-0.5555555555555556,-0.5555555555555556,-321.8253968253968
-228.015873015873,325.0,325.0,325.0,-11.507936507936508,-207.06349206349205,325.0,325.0,-210.87301587301587,325.0,8.333333333333332,325.0,325.0,-4.0476190476190474,325.0,212.93650793650792,-282.9365079365079,197.2222222222222,325.0,-96.1111111111111,-138.65079365079364,-0.5555555555555556,-0.5555555555555556,-321.8253968253968
-223.7301587301587,325.0,325.0,325.0,-11.507936507936508,-203.4126984126984,325.0,325.0,-206.9047619047619,325.0,-314.5238095238095,325.0,325.0,-4.0476190476190474,325.0,209.28571428571428,-277.53968253968253,202.14285714285714,325.0,-94.04761904761904,-135.79365079365078,-0.5555555555555556,-1.0317460317460316,-321.8253968253968
-223.7301587301587,325.0,325.0,325.0,-11.507936507936508,-203.4126984126984,325.0,325.0,-206.9047619047619,325.0,-314.5238095238095,325.0,325.0,-4.0476190476190474,325.0,209.28571428571428,-277.53968253968253,202.14285714285714,325.0,-94.04761904761904,-135.79365079365078,-0.5555555555555556,-1.0317460317460316,-321.8253968253968
-219.60317460317458,325.0,325.0,325.0,-11.349206349206348,-199.44444444444443,325.0,325.0,-202.93650793650792,325.0,-304.8412698412698,325.0,325.0,-3.888888888888889,325.0,205.79365079365078,-272.3015873015873,201.8253968253968,325.0,-92.30158730158729,-133.0952380952381,-0.873015873015873,-0.873015873015873,-321.8253968253968
-219.60317460317458,325.0,325.0,325.0,-11.349206349206348,-199.44444444444443,325.0,325.0,-202.93650793650792,325.0,-304.8412698412698,325.0,325.0,-3.888888888888889,325.0,205.79365079365078,-272.3015873015873,201.8253968253968,325.0,-92.30158730158729,-133.0952380952381,-0.873015873015873,-0.873015873015873,-321.8253968253968
-215.63492063492063,325.0,325.0,325.0,-11.19047619047619,-195.79365079365078,325.0,325.0,-199.28571428571428,325.0,-297.38095238095235,325.0,325.0,-3.888888888888889,325.0,202.3015873015873,-267.06349206349205,202.3015873015873,325.0,-90.39682539682539,-130.23809523809524,-0.07936507936507936,-0.3968253968253968,-321.8253968253968
-215.63492063492063,325.0,325.0,325.0,-11.19047619047619,-195.79365079365078,325.0,325.0,-199.28571428571428,325.0,-297.38095238095235,325.0,325.0,-3.888888888888889,325.0,202.3015873015873,-267.06349206349205,202.3015873015873,325.0,-90.39682539682539,-130.23809523809524,-0.07936507936507936,-0.3968253968253968,-321.8253968253968
-211.5079365079365,325.0,325.0,325.0,-10.873015873015872,-192.3015873015873,325.0,325.0,-195.47619047619045,325.0,-292.1428571428571,325.0,325.0,-3.888888888888889,325.0,196.58730158730157,-262.1428571428571,198.33333333333331,325.0,-88.80952380952381,-127.6984126984127,-1.507936507936508,-0.07936507936507936,-321.8253968253968
-211.5079365079365,325.0,325.0,325.0,-10.873015873015872,-192.3015873015873,325.0,325.0,-195.47619047619045,325.0,-292.1428571428571,325.0,325.0,-3.888888888888889,325.0,196.58730158730157,-262.1428571428571,198.33333333333331,325.0,-88.80952380952381,-127.6984126984127,-1.507936507936508,-0.07936507936507936,-321.8253968253968
-207.69841269841268,325.0,325.0,325.0,-10.714285714285714,-188.8095238095238,325.0,325.0,-191.98412698412696,325.0,-286.74603174603175,325.0,325.0,-3.73015873015873,325.0,-38.96825396825397,-257.06349206349205,198.17460317460316,325.0,-86.9047619047619,-125.15873015873015,-0.7142857142857142,-0.23809523809523808,-166.26984126984127
-207.69841269841268,325.0,325.0,325.0,-10.714285714285714,-188.8095238095238,325.0,325.0,-191.98412698412696,325.0,-286.74603174603175,325.0,325.0,-3.73015873015873,325.0,-38.96825396825397,-257.06349206349205,198.17460317460316,325.0,-86.9047619047619,-125.15873015873015,-0.7142857142857142,-0.23809523809523808,-166.26984126984127
