Fp1[1],Fp2[2],F3[3],F4[4],C3[5],C4[6],P3[7],P4[8],O1[9],O2[10],F7[11],F8[12],T3[13],T4[14],T5[15],T6[16],Fz[17],Pz[18],Cz[19],Pg1[20],Pg2[21],EOGR[22],EOOGL[23],EMG[24]
325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,-325.0,325.0,325.0,325.0,-325.0,325.0,325.0,325.0,-325.0,-325.0,-0.5555555555555556,-0.23809523809523808,-166.26984126984127
325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,-325.0,325.0,325.0,325.0,-325.0,325.0,325.0,325.0,-325.0,-325.0,-0.5555555555555556,-0.23809523809523808,-166.26984126984127
-148.65079365079364,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,-325.0,325.0,89.76190476190476,325.0,-308.015873015873,325.0,325.0,-83.09523809523809,-325.0,-325.0,0.23809523809523808,0.07936507936507936,-166.26984126984127
-148.65079365079364,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,-325.0,325.0,89.76190476190476,325.0,-308.015873015873,325.0,325.0,-83.09523809523809,-325.0,-325.0,0.23809523809523808,0.07936507936507936,-166.26984126984127
-325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,-325.0,325.0,-24.365079365079364,325.0,-325.0,325.0,325.0,-325.0,-325.0,-325.0,-0.7142857142857142,-0.23809523809523808,-166.26984126984127
-325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,-325.0,325.0,-24.365079365079364,325.0,-325.0,325.0,325.0,-325.0,-325.0,-325.0,-0.7142857142857142,-0.23809523809523808,-166.26984126984127
-325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,-325.0,325.0,-124.36507936507935,325.0,-325.0,325.0,325.0,-325.0,-325.0,-325.0,-1.0317460317460316,-0.23809523809523808,-166.26984126984127
-325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,-325.0,325.0,-124.36507936507935,325.0,-325.0,325.0,325.0,-325.0,-325.0,-325.0,-1.0317460317460316,-0.23809523809523808,-166.26984126984127
-325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,-325.0,325.0,-287.53968253968253,325.0,-325.0,325.0,325.0,-325.0,-325.0,-325.0,-0.3968253968253968,-0.07936507936507936,-166.26984126984127
-325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,-325.0,325.0,-287.53968253968253,325.0,-325.0,325.0,325.0,-325.0,-325.0,-325.0,-0.3968253968253968,-0.07936507936507936,-166.26984126984127
-325.0,325.0,325.0,325.0,325.0,235.15873015873015,325.0,325.0,325.0,325.0,325.0,-268.8095238095238,325.0,-325.0,325.0,-0.07936507936507936,325.0,325.0,-325.0,-325.0,-325.0,-0.5555555555555556,0.5555555555555556,-321.8253968253968
-325.0,325.0,325.0,325.0,325.0,235.15873015873015,325.0,325.0,325.0,325.0,325.0,-268.8095238095238,325.0,-325.0,325.0,-0.07936507936507936,325.0,325.0,-325.0,-325.0,-325.0,-0.5555555555555556,0.5555555555555556,-321.8253968253968
-325.0,325.0,325.0,325.0,258.6507936507936,74.04761904761904,325.0,325.0,325.0,325.0,325.0,-226.42857142857142,325.0,-325.0,325.0,-325.0,325.0,325.0,-325.0,-325.0,-325.0,-0.5555555555555556,0.3968253968253968,-321.8253968253968
-325.0,325.0,325.0,325.0,258.6507936507936,74.04761904761904,325.0,325.0,325.0,325.0,325.0,-226.42857142857142,325.0,-325.0,325.0,-325.0,325.0,325.0,-325.0,-325.0,-325.0,-0.5555555555555556,0.3968253968253968,-321.8253968253968
-325.0,325.0,325.0,325.0,80.23809523809523,-95.31746031746032,325.0,325.0,325.0,325.0,325.0,-179.44444444444443,325.0,-325.0,325.0,-325.0,325.0,303.88888888888886,-325.0,-325.0,-325.0,-0.5555555555555556,-0.23809523809523808,-321.8253968253968
-325.0,325.0,325.0,325.0,80.23809523809523,-95.31746031746032,325.0,325.0,325.0,325.0,325.0,-179.44444444444443,325.0,-325.0,325.0,-325.0,325.0,303.88888888888886,-325.0,-325.0,-325.0,-0.5555555555555556,-0.23809523809523808,-321.8253968253968
-325.0,325.0,325.0,325.0,-70.71428571428571,-217.06349206349205,325.0,325.0,325.0,325.0,325.0,-146.9047619047619,325.0,-325.0,325.0,-322.6190476190476,325.0,186.11111111111111,-325.0,-325.0,-325.0,-0.23809523809523808,-0.3968253968253968,-321.8253968253968
-325.0,325.0,325.0,325.0,-70.71428571428571,-217.06349206349205,325.0,325.0,325.0,325.0,325.0,-146.9047619047619,325.0,-325.0,325.0,-322.6190476190476,325.0,186.11111111111111,-325.0,-325.0,-325.0,-0.23809523809523808,-0.3968253968253968,-321.8253968253968
-325.0,325.0,325.0,325.0,-208.17460317460316,-314.2063492063492,325.0,325.0,325.0,325.0,325.0,-121.03174603174602,325.0,-325.0,325.0,-316.58730158730157,325.0,62.93650793650793,-325.0,-325.0,-325.0,0.07936507936507936,-0.873015873015873,-321.8253968253968
-325.0,325.0,325.0,325.0,-208.17460317460316,-314.2063492063492,325.0,325.0,325.0,325.0,325.0,-121.03174603174602,325.0,-325.0,325.0,-316.58730158730157,325.0,62.93650793650793,-325.0,-325.0,-325.0,0.07936507936507936,-0.873015873015873,-321.8253968253968
-325.0,290.55555555555554,310.87301587301585,311.984126984127,-311.8253968253968,-325.0,311.8253968253968,315.6349206349206,311.984126984127,314.2063492063492,316.26984126984127,-43.095238095238095,310.07936507936506,-325.0,195.15873015873015,-296.74603174603175,311.3492063492063,-174.2063492063492,-325.0,-312.77777777777777,-308.6507936507936,-0.07936507936507936,-0.5555555555555556,-166.26984126984127
-325.0,290.55555555555554,310.87301587301585,311.984126984127,-311.8253968253968,-325.0,311.8253968253968,315.6349206349206,311.984126984127,314.2063492063492,316.26984126984127,-43.095238095238095,310.07936507936506,-325.0,195.15873015873015,-296.74603174603175,311.3492063492063,-174.2063492063492,-325.0,-312.77777777777777,-308.6507936507936,-0.07936507936507936,-0.5555555555555556,-166.26984126984127
-13.888888888888888,-1.984126984126984,35.63492063492063,-2.619047619047619,-238.96825396825395,-182.93650793650792,1.349206349206349,2.9365079365079363,6.26984126984127,37.857142857142854,39.6031746031746,35.476190476190474,2.142857142857143,-79.28571428571428,-86.26984126984127,-301.66666666666663,7.857142857142857,-236.58730158730157,-0.07936507936507936,-179.44444444444443,-172.93650793650792,-1.0317460317460316,-0.7142857142857142,-166.26984126984127
