Fp1[1],Fp2[2],F3[3],F4[4],C3[5],C4[6],P3[7],P4[8],O1[9],O2[10],F7[11],F8[12],T3[13],T4[14],T5[15],T6[16],Fz[17],Pz[18],Cz[19],Pg1[20],Pg2[21],EOGR[22],EOOGL[23],EMG[24]
-325.0,325.0,-323.73015873015873,-277.85714285714283,-325.0,325.0,-325.0,325.0,-325.0,325.0,-28.015873015873016,325.0,-321.984126984127,-213.4126984126984,-325.0,325.0,-31.349206349206348,325.0,-325.0,-325.0,-325.0,2.9365079365079363,5.158730158730158,-166.26984126984127
-325.0,325.0,-323.73015873015873,-277.85714285714283,-325.0,325.0,-325.0,325.0,-325.0,325.0,-28.015873015873016,325.0,-321.984126984127,-213.4126984126984,-325.0,325.0,-31.349206349206348,325.0,-325.0,-325.0,-325.0,2.9365079365079363,5.158730158730158,-166.26984126984127
-322.9365079365079,325.0,1.349206349206349,-325.0,-325.0,325.0,-325.0,325.0,-325.0,325.0,-27.698412698412696,325.0,-104.04761904761904,-210.55555555555554,-325.0,325.0,-30.87301587301587,325.0,-325.0,-325.0,-325.0,-1.1904761904761905,-0.873015873015873,-166.26984126984127
-322.9365079365079,325.0,1.349206349206349,-325.0,-325.0,325.0,-325.0,325.0,-325.0,325.0,-27.698412698412696,325.0,-104.04761904761904,-210.55555555555554,-325.0,325.0,-30.87301587301587,325.0,-325.0,-325.0,-325.0,-1.1904761904761905,-0.873015873015873,-166.26984126984127
-299.76190476190476,325.0,325.0,-325.0,-308.968253968254,325.0,-305.6349206349206,325.0,-305.0,325.0,-26.11111111111111,325.0,218.8095238095238,-195.3174603174603,-305.4761904761905,-0.07936507936507936,-28.333333333333332,325.0,-325.0,-325.0,-325.0,-4.0476190476190474,-9.126984126984127,-166.26984126984127
-299.76190476190476,325.0,325.0,-325.0,-308.968253968254,325.0,-305.6349206349206,325.0,-305.0,325.0,-26.11111111111111,325.0,218.8095238095238,-195.3174603174603,-305.4761904761905,-0.07936507936507936,-28.333333333333332,325.0,-325.0,-325.0,-325.0,-4.0476190476190474,-9.126984126984127,-166.26984126984127
-278.6507936507936,325.0,325.0,-325.0,-292.77777777777777,325.0,-286.1111111111111,325.0,-285.0,325.0,-24.68253968253968,325.0,325.0,-181.984126984127,-285.95238095238096,-325.0,-26.11111111111111,325.0,-325.0,-325.0,-325.0,-3.253968253968254,-8.333333333333332,-166.26984126984127
-278.6507936507936,325.0,325.0,-325.0,-292.77777777777777,325.0,-286.1111111111111,325.0,-285.0,325.0,-24.68253968253968,325.0,325.0,-181.984126984127,-285.95238095238096,-325.0,-26.11111111111111,325.0,-325.0,-325.0,-325.0,-3.253968253968254,-8.333333333333332,-166.26984126984127
-278.6507936507936,325.0,325.0,-325.0,-292.77777777777777,325.0,-286.1111111111111,325.0,-285.0,325.0,-24.68253968253968,325.0,325.0,-181.984126984127,-285.95238095238096,-325.0,-26.11111111111111,325.0,-325.0,-325.0,-325.0,-3.253968253968254,-8.333333333333332,-166.26984126984127
-278.6507936507936,325.0,325.0,-325.0,-292.77777777777777,325.0,-286.1111111111111,325.0,-285.0,325.0,-24.68253968253968,325.0,325.0,-181.984126984127,-285.95238095238096,-325.0,-26.11111111111111,325.0,-325.0,-325.0,-325.0,-3.253968253968254,-8.333333333333332,-166.26984126984127
-256.1111111111111,325.0,325.0,-325.0,-270.87301587301585,325.0,-263.57142857142856,325.0,-262.77777777777777,314.36507936507934,-23.095238095238095,325.0,325.0,-167.38095238095238,-264.04761904761904,-325.0,-24.206349206349206,325.0,-325.0,-325.0,-325.0,3.095238095238095,5.634920634920634,-321.8253968253968
-256.1111111111111,325.0,325.0,-325.0,-270.87301587301585,325.0,-263.57142857142856,325.0,-262.77777777777777,314.36507936507934,-23.095238095238095,325.0,325.0,-167.38095238095238,-264.04761904761904,-325.0,-24.206349206349206,325.0,-325.0,-325.0,-325.0,3.095238095238095,5.634920634920634,-321.8253968253968
-252.77777777777777,325.0,325.0,-325.0,-267.53968253968253,325.0,-260.07936507936506,325.0,-259.44444444444446,187.53968253968253,-22.777777777777775,325.0,325.0,-165.15873015873015,-260.7142857142857,-325.0,-23.88888888888889,325.0,-325.0,-325.0,-325.0,-0.5555555555555556,-0.5555555555555556,-321.8253968253968
-252.77777777777777,325.0,325.0,-325.0,-267.53968253968253,325.0,-260.07936507936506,325.0,-259.44444444444446,187.53968253968253,-22.777777777777775,325.0,325.0,-165.15873015873015,-260.7142857142857,-325.0,-23.88888888888889,325.0,-325.0,-325.0,-325.0,-0.5555555555555556,-0.5555555555555556,-321.8253968253968
-247.38095238095238,325.0,325.0,-325.0,-261.8253968253968,325.0,-254.52380952380952,325.0,-253.88888888888889,-283.25396825396825,-22.3015873015873,325.0,325.0,-161.66666666666666,-255.15873015873015,-325.0,-23.253968253968253,325.0,-325.0,-325.0,-325.0,3.095238095238095,7.063492063492063,-321.8253968253968
-247.38095238095238,325.0,325.0,-325.0,-261.8253968253968,325.0,-254.52380952380952,325.0,-253.88888888888889,-283.25396825396825,-22.3015873015873,325.0,325.0,-161.66666666666666,-255.15873015873015,-325.0,-23.253968253968253,325.0,-325.0,-325.0,-325.0,3.095238095238095,7.063492063492063,-321.8253968253968
-242.93650793650792,325.0,325.0,-325.0,-257.53968253968253,325.0,-250.2380952380952,325.0,-249.60317460317458,-309.9206349206349,-21.984126984126984,325.0,325.0,-158.65079365079364,-250.87301587301585,-325.0,-22.777777777777775,325.0,-325.0,-325.0,-325.0,-4.365079365079365,-7.222222222222221,-321.8253968253968
-242.93650793650792,325.0,325.0,-325.0,-257.53968253968253,325.0,-250.2380952380952,325.0,-249.60317460317458,-309.9206349206349,-21.984126984126984,325.0,325.0,-158.65079365079364,-250.87301587301585,-325.0,-22.777777777777775,325.0,-325.0,-325.0,-325.0,-4.365079365079365,-7.222222222222221,-321.8253968253968
-238.8095238095238,325.0,325.0,-325.0,-253.25396825396825,325.0,-246.1111111111111,325.0,-245.3174603174603,-325.0,-21.825396825396822,325.0,325.0,-155.79365079365078,-246.74603174603172,-325.0,-22.3015873015873,325.0,-325.0,-325.0,-325.0,2.9365079365079363,6.111111111111111,-321.8253968253968
-238.8095238095238,325.0,325.0,-325.0,-253.25396825396825,325.0,-246.1111111111111,325.0,-245.3174603174603,-325.0,-21.825396825396822,325.0,325.0,-155.79365079365078,-246.74603174603172,-325.0,-22.3015873015873,325.0,-325.0,-325.0,-325.0,2.9365079365079363,6.111111111111111,-321.8253968253968
-234.52380952380952,325.0,325.0,-325.0,-249.12698412698413,325.0,-241.8253968253968,325.0,-241.34920634920633,-325.0,-21.507936507936506,325.0,325.0,-153.09523809523807,-242.46031746031744,-325.0,-21.984126984126984,325.0,-325.0,-325.0,-325.0,-4.2063492063492065,-7.063492063492063,-166.26984126984127
-234.52380952380952,325.0,325.0,-325.0,-249.12698412698413,325.0,-241.8253968253968,325.0,-241.34920634920633,-325.0,-21.507936507936506,325.0,325.0,-153.09523809523807,-242.46031746031744,-325.0,-21.984126984126984,325.0,-325.0,-325.0,-325.0,-4.2063492063492065,-7.063492063492063,-166.26984126984127
-222.61904761904762,325.0,325.0,-325.0,-237.69841269841268,325.0,-229.9206349206349,325.0,-229.44444444444443,-325.0,-20.555555555555554,325.0,325.0,-145.3174603174603,-230.87301587301587,-325.0,-20.71428571428571,325.0,-323.57142857142856,-325.0,-323.88888888888886,2.3015873015873014,5.7936507936507935,-166.26984126984127
-222.61904761904762,325.0,325.0,-325.0,-237.69841269841268,325.0,-229.9206349206349,325.0,-229.44444444444443,-325.0,-20.555555555555554,325.0,325.0,-145.3174603174603,-230.87301587301587,-325.0,-20.71428571428571,325.0,-323.57142857142856,-325.0,-323.88888888888886,2.3015873015873014,5.7936507936507935,-166.26984126984127
-138.17460317460316,51.03174603174603,239.12698412698413,-212.46031746031744,-150.3968253968254,-0.07936507936507936,-144.04761904761904,230.55555555555554,51.98412698412698,-244.36507936507934,-13.888888888888888,228.96825396825395,240.3968253968254,-90.07936507936508,23.41269841269841,-218.4920634920635,-13.571428571428571,10.555555555555555,-208.65079365079364,-211.03174603174602,-206.58730158730157,1.984126984126984,5.0,-166.26984126984127
-138.17460317460316,51.03174603174603,239.12698412698413,-212.46031746031744,-150.3968253968254,-0.07936507936507936,-144.04761904761904,230.55555555555554,51.98412698412698,-244.36507936507934,-13.888888888888888,228.96825396825395,240.3968253968254,-90.07936507936508,23.41269841269841,-218.4920634920635,-13.571428571428571,10.555555555555555,-208.65079365079364,-211.03174603174602,-206.58730158730157,1.984126984126984,5.0,-166.26984126984127
-37.53968253968254,-135.79365079365078,-325.0,-59.12698412698413,-44.52380952380952,-325.0,-40.55555555555555,-325.0,259.6031746031746,-97.6984126984127,-5.317460317460317,13.888888888888888,-325.0,325.0,163.73015873015873,290.07936507936506,-4.682539682539682,-187.69841269841268,-56.904761904761905,-58.17460317460317,-52.93650793650794,-1.8253968253968254,-6.26984126984127,-166.26984126984127
-37.53968253968254,-135.79365079365078,-325.0,-59.12698412698413,-44.52380952380952,-325.0,-40.55555555555555,-325.0,259.6031746031746,-97.6984126984127,-5.317460317460317,13.888888888888888,-325.0,325.0,163.73015873015873,290.07936507936506,-4.682539682539682,-187.69841269841268,-56.904761904761905,-58.17460317460317,-52.93650793650794,-1.8253968253968254,-6.26984126984127,-166.26984126984127
-37.53968253968254,-135.79365079365078,-325.0,-59.12698412698413,-44.52380952380952,-325.0,-40.55555555555555,-325.0,259.6031746031746,-97.6984126984127,-5.317460317460317,13.888888888888888,-325.0,325.0,163.73015873015873,290.07936507936506,-4.682539682539682,-187.69841269841268,-56.904761904761905,-58.17460317460317,-52.93650793650794,-1.8253968253968254,-6.26984126984127,-166.26984126984127
-37.53968253968254,-135.79365079365078,-325.0,-59.12698412698413,-44.52380952380952,-325.0,-40.55555555555555,-325.0,259.6031746031746,-97.6984126984127,-5.317460317460317,13.888888888888888,-325.0,325.0,163.73015873015873,290.07936507936506,-4.682539682539682,-187.69841269841268,-56.904761904761905,-58.17460317460317,-52.93650793650794,-1.8253968253968254,-6.26984126984127,-166.26984126984127
