,Fp1[1],Fp2[2],F3[3],F4[4],C3[5],C4[6],P3[7],P4[8],O1[9],O2[10],F7[11],F8[12],T3[13],T4[14],T5[15],T6[16],Fz[17],Pz[18],Cz[19],Pg1[20],Pg2[21],EOGR[22],EOOGL[23],EMG[24]
6625,-94.04761904761904,3.571428571428571,9.444444444444445,-0.5555555555555556,6.904761904761904,-5.0,-8.492063492063492,-1.6666666666666665,1.8253968253968254,14.682539682539682,1.8253968253968254,2.7777777777777777,12.619047619047619,-1.507936507936508,1.507936507936508,0.5555555555555556,6.904761904761904,-3.4126984126984126,-0.7142857142857142,5.158730158730158,3.095238095238095,0.07936507936507936,-0.3968253968253968,-166.26984126984127
6626,-93.57142857142857,3.888888888888889,8.492063492063492,-1.0317460317460316,5.634920634920634,-5.158730158730158,-9.126984126984127,-1.1904761904761905,1.1904761904761905,16.746031746031743,0.3968253968253968,2.46031746031746,9.603174603174603,-1.507936507936508,1.0317460317460316,4.2063492063492065,6.111111111111111,-2.3015873015873014,-0.5555555555555556,7.222222222222221,2.619047619047619,0.07936507936507936,0.3968253968253968,-166.26984126984127
6627,-93.57142857142857,3.888888888888889,8.492063492063492,-1.0317460317460316,5.634920634920634,-5.158730158730158,-9.126984126984127,-1.1904761904761905,1.1904761904761905,16.746031746031743,0.3968253968253968,2.46031746031746,9.603174603174603,-1.507936507936508,1.0317460317460316,4.2063492063492065,6.111111111111111,-2.3015873015873014,-0.5555555555555556,7.222222222222221,2.619047619047619,0.07936507936507936,0.3968253968253968,-166.26984126984127
6628,-93.57142857142857,3.888888888888889,8.492063492063492,-1.0317460317460316,5.634920634920634,-5.158730158730158,-9.126984126984127,-1.1904761904761905,1.1904761904761905,16.746031746031743,0.3968253968253968,2.46031746031746,9.603174603174603,-1.507936507936508,1.0317460317460316,4.2063492063492065,6.111111111111111,-2.3015873015873014,-0.5555555555555556,7.222222222222221,2.619047619047619,0.07936507936507936,0.3968253968253968,-166.26984126984127
6629,-93.57142857142857,3.888888888888889,8.492063492063492,-1.0317460317460316,5.634920634920634,-5.158730158730158,-9.126984126984127,-1.1904761904761905,1.1904761904761905,16.746031746031743,0.3968253968253968,2.46031746031746,9.603174603174603,-1.507936507936508,1.0317460317460316,4.2063492063492065,6.111111111111111,-2.3015873015873014,-0.5555555555555556,7.222222222222221,2.619047619047619,0.07936507936507936,0.3968253968253968,-166.26984126984127
6630,-93.57142857142857,3.888888888888889,8.492063492063492,-1.0317460317460316,5.634920634920634,-5.158730158730158,-9.126984126984127,-1.1904761904761905,1.1904761904761905,16.746031746031743,0.3968253968253968,2.46031746031746,9.603174603174603,-1.507936507936508,1.0317460317460316,4.2063492063492065,6.111111111111111,-2.3015873015873014,-0.5555555555555556,7.222222222222221,2.619047619047619,0.07936507936507936,0.3968253968253968,-321.8253968253968
6631,-93.57142857142857,3.888888888888889,8.492063492063492,-1.0317460317460316,5.634920634920634,-5.158730158730158,-9.126984126984127,-1.1904761904761905,1.1904761904761905,16.746031746031743,0.3968253968253968,2.46031746031746,9.603174603174603,-1.507936507936508,1.0317460317460316,4.2063492063492065,6.111111111111111,-2.3015873015873014,-0.5555555555555556,7.222222222222221,2.619047619047619,0.07936507936507936,0.3968253968253968,-321.8253968253968
6632,23.253968253968253,1.349206349206349,4.365079365079365,-5.7936507936507935,3.4126984126984126,-4.523809523809524,-8.492063492063492,1.984126984126984,1.349206349206349,6.587301587301587,-5.952380952380952,1.6666666666666665,3.095238095238095,-3.095238095238095,-0.07936507936507936,-5.158730158730158,3.4126984126984126,0.3968253968253968,-0.23809523809523808,-1.507936507936508,0.873015873015873,0.07936507936507936,-0.3968253968253968,-321.8253968253968
6633,23.253968253968253,1.349206349206349,4.365079365079365,-5.7936507936507935,3.4126984126984126,-4.523809523809524,-8.492063492063492,1.984126984126984,1.349206349206349,6.587301587301587,-5.952380952380952,1.6666666666666665,3.095238095238095,-3.095238095238095,-0.07936507936507936,-5.158730158730158,3.4126984126984126,0.3968253968253968,-0.23809523809523808,-1.507936507936508,0.873015873015873,0.07936507936507936,-0.3968253968253968,-321.8253968253968
6634,-44.84126984126984,-1.8253968253968254,-3.095238095238095,-14.523809523809524,0.07936507936507936,-4.682539682539682,-6.111111111111111,1.349206349206349,4.2063492063492065,-10.555555555555555,-16.428571428571427,-0.3968253968253968,-0.5555555555555556,-6.111111111111111,2.9365079365079363,-21.984126984126984,-3.4126984126984126,1.507936507936508,-3.095238095238095,-6.26984126984127,-16.746031746031743,0.07936507936507936,-1.507936507936508,-321.8253968253968
6635,-44.84126984126984,-1.8253968253968254,-3.095238095238095,-14.523809523809524,0.07936507936507936,-4.682539682539682,-6.111111111111111,1.349206349206349,4.2063492063492065,-10.555555555555555,-16.428571428571427,-0.3968253968253968,-0.5555555555555556,-6.111111111111111,2.9365079365079363,-21.984126984126984,-3.4126984126984126,1.507936507936508,-3.095238095238095,-6.26984126984127,-16.746031746031743,0.07936507936507936,-1.507936507936508,-321.8253968253968
6636,-38.33333333333333,-2.9365079365079363,-3.095238095238095,-16.587301587301585,0.873015873015873,-6.26984126984127,-5.0,-0.7142857142857142,5.7936507936507935,-11.19047619047619,-16.904761904761905,-1.8253968253968254,-0.5555555555555556,-7.063492063492063,4.2063492063492065,-23.88888888888889,-4.523809523809524,-0.07936507936507936,-4.841269841269841,-2.142857142857143,-17.063492063492063,0.23809523809523808,-1.6666666666666665,-321.8253968253968
6637,-38.33333333333333,-2.9365079365079363,-3.095238095238095,-16.587301587301585,0.873015873015873,-6.26984126984127,-5.0,-0.7142857142857142,5.7936507936507935,-11.19047619047619,-16.904761904761905,-1.8253968253968254,-0.5555555555555556,-7.063492063492063,4.2063492063492065,-23.88888888888889,-4.523809523809524,-0.07936507936507936,-4.841269841269841,-2.142857142857143,-17.063492063492063,0.23809523809523808,-1.6666666666666665,-321.8253968253968
6638,67.53968253968253,-10.396825396825395,0.07936507936507936,-6.587301587301587,2.46031746031746,-3.095238095238095,-8.968253968253968,0.3968253968253968,3.095238095238095,5.7936507936507935,-12.936507936507935,1.6666666666666665,-0.5555555555555556,-0.23809523809523808,1.349206349206349,-23.57142857142857,2.9365079365079363,0.23809523809523808,-0.5555555555555556,2.46031746031746,3.253968253968254,-0.5555555555555556,-1.1904761904761905,-321.8253968253968
